,Adjusted CAGR,Adj Std Dev,Adj Max DD,Adj SSR,Unadjusted CAGR,Unadj Std Dev,Unadj Max DD,Unadj SSR
92,0.1227,0.12218544695474526,820.5603927479538,1.0042112465770603,0.1001,0.11822223577172018,1577.2548277246678,0.8467104292739557
93,0.1227,0.12297594301722435,820.5603927479538,0.9977561219661825,0.1126,0.1195267629114616,1577.2548277246678,0.9420484354906146
94,0.1324,0.12354607928037992,820.5603927479538,1.071664926731723,0.1222,0.12055451991329535,1577.2548277246678,1.013649260831432
95,0.123,0.12421964493547077,820.5603927479538,0.9901815454704902,0.1129,0.12168077411943135,1577.2548277246678,0.9278376211609823
96,0.1068,0.12511202065143295,820.5603927479538,0.8536350020079129,0.0947,0.12307759201195881,1577.2548277246678,0.7694333180551541
97,0.1068,0.12594024279990074,820.5603927479538,0.8480212331310845,0.0928,0.12441555348113198,1577.2548277246678,0.7458874505917253
98,0.1071,0.12670389545615274,820.5603927479538,0.8452778789035978,0.0931,0.12565694085199702,1577.2548277246678,0.7409061478717385
99,0.1184,0.12723737249838424,820.5603927479538,0.930544207846665,0.1043,0.1266151647828097,1577.2548277246678,0.8237559867249062
100,0.1259,0.12762172064419072,820.5603927479538,0.9865091879697276,0.1116,0.12738734916094013,1577.2548277246678,0.8760681553943436
101,0.1274,0.12795181369548866,820.5603927479538,0.9956873319763805,0.1131,0.12808173463775088,1577.2548277246678,0.8830298896238157
102,0.1299,0.12821850185265082,820.5603927479538,1.0131143175364936,0.1156,0.12868899194232059,1577.2548277246678,0.8982897313533454
103,0.1328,0.1284215838043325,820.5603927479538,1.0340940834551504,0.1185,0.12921005089677529,1577.2548277246678,0.9171113174057067
104,0.1312,0.12862016070065738,820.5603927479538,1.0200578143060075,0.1169,0.12971430475424642,1577.2548277246678,0.9012113214612368
105,0.1386,0.1287090951473301,820.5603927479538,1.0768469768305653,0.1242,0.13008221176495222,1577.2548277246678,0.954780813724317
106,0.1402,0.12876217107911714,820.5603927479538,1.0888291089302538,0.1258,0.13039871221686336,1577.2548277246678,0.9647334537382904
107,0.1472,0.1287256343662072,820.5603927479538,1.143517378840299,0.1327,0.13060305064476593,1577.2548277246678,1.0160558987319346
108,0.1323,0.12883428480141493,820.5603927479538,1.026900566133674,0.1196,0.13094397538917799,1577.2548277246678,0.9133677180988082
109,0.134,0.1289064327330406,820.5603927479538,1.0395136779365228,0.1212,0.13123677535490721,1577.2548277246678,0.9235216247293148
110,0.1323,0.12898044463374267,820.5603927479538,1.0257368888414338,0.1196,0.13152296500476487,1577.2548277246678,0.9093468961535887
111,0.1299,0.12906383077822972,820.5603927479538,1.0064787261987214,0.1172,0.13181255222949187,1577.2548277246678,0.8891414210381821
112,0.132,0.12910932937124672,820.5603927479538,1.0223893241706905,0.1193,0.1320525785472972,1577.2548277246678,0.9034280232344754
113,0.1344,0.12911651532700344,820.5603927479538,1.0409202855236255,0.1216,0.13224410656296473,1577.2548277246678,0.9195116754946142
114,0.1302,0.1291525932877121,820.5603927479538,1.0081098388009493,0.1175,0.13246093048836813,1577.2548277246678,0.8870540133365444
115,0.1302,0.12917522672696444,820.5603927479538,1.007933202820705,0.1178,0.13265347153422766,1577.2548277246678,0.8880280224675831
116,0.1315,0.12917269368190903,820.5603927479538,1.0180170146782108,0.1191,0.13281237009474364,1577.2548277246678,0.8967538183004962
