,date,Adjusted Close,1 Month Change,Monthly Change Std,Unadjusted Equity,Unadjusted CAGR,Max Equity,Dropdown,DD Percentage
44,1998-09-30,67.6731,0.0636,,2311.9074,,2565.6143,253.70691679877564,0.09888739581735868
45,1998-10-30,73.1601,0.0811,,2499.3593,,2565.6143,66.25496680828746,0.02582421169397421
46,1998-11-30,77.2338,0.0557,,2638.5282,,2638.5282,-5.152122412255267e-06,-1.9526501222368084e-09
47,1998-12-31,82.2853,0.0654,,2811.103,,2811.103,3.946604829252465e-05,1.4039346225493924e-08
48,1999-01-29,85.1838,0.0352,,2910.1244,,2910.1244,1.425559048584546e-05,4.898618933900372e-09
49,1999-02-26,82.4521,-0.0321,,2816.8021,,2910.1244,93.32229509701847,0.03206814632976462
50,1999-03-31,85.8747,0.0415,,2933.7284,,2933.7284,6.3148431763693225e-06,2.152497544206656e-09
51,1999-04-30,89.1358,0.038,,3045.1358,,3045.1358,-1.0408948583062738e-06,-3.4182214740842554e-10
52,1999-05-31,87.0976,-0.0229,,2975.5055,,3045.1358,69.63033699166544,0.022866085969520784
53,1999-06-30,91.9206,0.0554,,3140.2737,,3140.2737,1.4162715160637163e-05,4.5100257218462075e-09
54,1999-07-30,89.0691,-0.031,,3042.8564,,3140.2737,97.4172635406926,0.03102190218027575
55,1999-08-31,88.6078,-0.0052,,3027.0978,,3140.2737,113.1759362336361,0.036040150332640145
56,1999-09-30,86.6257,-0.0224,,2959.3825,,3140.2737,180.8911634847973,0.05760362973609506
57,1999-10-29,92.1764,0.0641,,3149.0129,,3149.0129,2.619493807287654e-05,8.318460071369203e-09
58,1999-11-30,93.7113,0.0167,,3201.4475,,3201.4475,2.207790021202527e-05,6.896224352273548e-09
59,1999-12-31,99.0613,0.0571,,3384.2177,,3384.2177,-4.192743426756351e-05,-1.2389106725481493e-08
60,2000-01-31,94.1293,-0.0498,,3215.7269,,3384.2177,168.49079884049297,0.04978722227015507
61,2000-02-29,92.696,-0.0152,,3166.7638,,3384.2177,217.4539491487708,0.06425530755564891
62,2000-03-31,101.6778,0.0969,,3473.6071,,3473.6071,-3.0531359243468614e-05,-8.789525805456989e-09
63,2000-04-28,98.1068,-0.0351,,3351.6111,,3473.6071,121.99596244635586,0.03512082942436289
64,2000-05-31,96.5643,-0.0157,,3298.9162,,3473.6071,174.69093488759563,0.05029093097132247
65,2000-06-30,98.4671,0.0197,,3363.9184,,3473.6071,109.68874213858999,0.03157776310930214
66,2000-07-31,96.9209,-0.0157,,3311.0981,,3473.6071,162.50895426796706,0.0467839193062356
67,2000-08-31,103.2538,0.0653,,3527.4472,,3527.4472,-4.355391092758509e-05,-1.2347147514379548e-08
68,2000-09-29,97.5948,-0.0548,,3334.1187,,3527.4472,193.32850225246466,0.054806915962474126
69,2000-10-31,97.1382,-0.0047,,3318.521,,3527.4472,208.92616531739304,0.05922871512219745
70,2000-11-30,89.8865,-0.0747,,3070.7832,,3527.4472,456.664010325243,0.12946019725688396
71,2000-12-29,89.4233,-0.0052,,3054.9585,,3527.4472,472.4887261895574,0.13394636387174197
72,2001-01-31,93.399,0.0445,,3190.7798,,3527.4472,336.6674206668931,0.09544222821163506
73,2001-02-28,84.4899,-0.0954,,2886.419,,3527.4472,641.0281916035124,0.18172580771825936
74,2001-03-30,79.7594,-0.056,,2724.8104,,3527.4472,802.6368329678967,0.22754042440887468
75,2001-04-30,86.574,0.0854,,2957.6184,,3527.4472,569.8288430534426,0.16154142379606493
