,date,adjClose,1 Month Change,5 Month Change,Unadjusted Equity,In Market?,Adjusted Equity,Adjusted CAGR,Unadjusted CAGR,Max Unadjusted,Max Adjusted,DD Unadjusted,DD Unadjusted Percentage,DD Adjusted,Sharpe Ratio,DD Adjusted Percentage
35,1997-12-31,63.9421,0.0191,0.0262,2184.4453,True,2184.4453,0.478,0.478,2184.4453,2184.4453,3.611775900935754e-05,1.65340642813796e-08,3.611775900935754e-05,,1.65340642813796e-08
36,1998-01-30,64.7655,0.0129,0.0962,2212.5772,True,2212.5772,0.3031,0.3031,2212.5772,2212.5772,-5.465720732900081e-06,-2.4702960569692577e-09,-5.465720732900081e-06,,-2.4702960569692577e-09
37,1998-02-27,69.2534,0.0693,0.1184,2365.8963,True,2365.8963,0.3325,0.3325,2365.8963,2365.8963,1.2912340480397688e-05,5.45769503101116e-09,1.2912340480397688e-05,,5.45769503101116e-09
38,1998-03-31,72.6304,0.0488,0.2024,2481.262,True,2481.262,0.3538,0.3538,2481.262,2481.262,1.2459103345463518e-05,5.021276812147817e-09,1.2459103345463518e-05,,5.021276812147817e-09
39,1998-04-30,73.5594,0.0128,0.1724,2512.9995,True,2512.9995,0.3596,0.3596,2512.9995,2512.9995,-3.521672624628991e-06,-1.4013821429845055e-09,-3.521672624628991e-06,,-1.4013821429845055e-09
40,1998-05-29,72.0316,-0.0208,0.1265,2460.807,True,2460.807,0.3501,0.3501,2512.9995,2512.9995,52.192545389107636,0.02076902338783101,52.192545389107636,,0.02076902338783101
41,1998-06-30,75.0995,0.0426,0.1596,2565.6143,True,2565.6143,0.369,0.369,2565.6143,2565.6143,2.6441277896083193e-05,1.030602218583019e-08,2.6441277896083193e-05,,1.030602218583019e-08
42,1998-07-31,74.0846,-0.0135,0.0698,2530.9426,True,2530.9426,0.3628,0.3628,2565.6143,2565.6143,34.67168962201913,0.013513991414071527,34.67168962201913,,0.013513991414071527
43,1998-08-31,63.6254,-0.1412,-0.124,2173.6258,True,2173.6258,0.2954,0.2954,2565.6143,2565.6143,391.988528248683,0.15278544723136403,391.988528248683,,0.15278544723136403
44,1998-09-30,67.6731,0.0636,-0.08,2311.9074,False,2173.6258,0.2954,0.3223,2565.6143,2565.6143,253.70691679877564,0.09888739581735868,391.988528248683,,0.15278544723136403
45,1998-10-30,73.1601,0.0811,0.0157,2499.3593,True,2349.8657,0.3295,0.3571,2565.6143,2565.6143,66.25496680828746,0.02582421169397421,215.74860080825874,,0.08409237538481865
46,1998-11-30,77.2338,0.0557,0.0284,2638.5282,True,2480.7105,0.3537,0.3818,2638.5282,2565.6143,-5.152122412255267e-06,-1.9526501222368084e-09,84.90380619549069,,0.03309297356016868
